Country,Event month,Sub-Event Type,Events
Mexico,2023-01-01,Abduction/forced disappearance,17
Mexico,2023-01-01,Air/drone strike,1
Mexico,2023-01-01,Armed clash,130
Mexico,2023-01-01,Attack,433
Mexico,2023-01-01,Grenade,1
Mexico,2023-01-01,Sexual violence,3
Mexico,2023-01-01,Remote explosive/landmine/IED,0
Mexico,2023-02-01,Abduction/forced disappearance,8
Mexico,2023-02-01,Air/drone strike,0
Mexico,2023-02-01,Armed clash,108
Mexico,2023-02-01,Attack,353
Mexico,2023-02-01,Grenade,0
Mexico,2023-02-01,Sexual violence,4
Mexico,2023-02-01,Remote explosive/landmine/IED,0
Mexico,2023-03-01,Abduction/forced disappearance,17
Mexico,2023-03-01,Air/drone strike,0
Mexico,2023-03-01,Armed clash,105
Mexico,2023-03-01,Attack,392
Mexico,2023-03-01,Grenade,1
Mexico,2023-03-01,Sexual violence,2
Mexico,2023-03-01,Remote explosive/landmine/IED,1
Mexico,2023-04-01,Abduction/forced disappearance,20
Mexico,2023-04-01,Air/drone strike,0
Mexico,2023-04-01,Armed clash,86
Mexico,2023-04-01,Attack,420
Mexico,2023-04-01,Grenade,0
Mexico,2023-04-01,Sexual violence,0
Mexico,2023-04-01,Remote explosive/landmine/IED,0
Mexico,2023-05-01,Abduction/forced disappearance,20
Mexico,2023-05-01,Air/drone strike,4
Mexico,2023-05-01,Armed clash,123
Mexico,2023-05-01,Attack,437
Mexico,2023-05-01,Grenade,2
Mexico,2023-05-01,Sexual violence,1
Mexico,2023-05-01,Remote explosive/landmine/IED,0
Mexico,2023-06-01,Abduction/forced disappearance,9
Mexico,2023-06-01,Air/drone strike,0
Mexico,2023-06-01,Armed clash,113
Mexico,2023-06-01,Attack,381
Mexico,2023-06-01,Grenade,0
Mexico,2023-06-01,Sexual violence,0
Mexico,2023-06-01,Remote explosive/landmine/IED,2
Mexico,2023-07-01,Abduction/forced disappearance,20
Mexico,2023-07-01,Air/drone strike,10
Mexico,2023-07-01,Armed clash,134
Mexico,2023-07-01,Attack,432
Mexico,2023-07-01,Grenade,1
Mexico,2023-07-01,Sexual violence,2
Mexico,2023-07-01,Remote explosive/landmine/IED,2
Mexico,2023-08-01,Abduction/forced disappearance,11
Mexico,2023-08-01,Air/drone strike,7
Mexico,2023-08-01,Armed clash,116
Mexico,2023-08-01,Attack,473
Mexico,2023-08-01,Grenade,0
Mexico,2023-08-01,Sexual violence,2
Mexico,2023-08-01,Remote explosive/landmine/IED,0
Mexico,2023-09-01,Abduction/forced disappearance,19
Mexico,2023-09-01,Air/drone strike,4
Mexico,2023-09-01,Armed clash,108
Mexico,2023-09-01,Attack,395
Mexico,2023-09-01,Grenade,2
Mexico,2023-09-01,Sexual violence,0
Mexico,2023-09-01,Remote explosive/landmine/IED,0
Mexico,2023-10-01,Abduction/forced disappearance,15
Mexico,2023-10-01,Air/drone strike,1
Mexico,2023-10-01,Armed clash,100
Mexico,2023-10-01,Attack,383
Mexico,2023-10-01,Grenade,0
